ULRID	C1-R1-TFs-ids	C1-R1-TFs-genes	C1-R1-ids	C1-R1-genes	C1-R1-PW	C1-R1-ID	C1-R1-TYPE	SocektPairs_TF	SocketPairs_Ligand
0	n104	"NFKB1,RELA"	"n104,n105"	"NFKB1,RELA,IL1B"	NOD-like receptor signaling pathway	Route1149	P2	"NFKB1,RELA"	IL1B
1	n108	JUN	"n108,n1039"	"JUN,IL1B,IL18,TNF,IL6"	NOD-like receptor signaling pathway	Route1153	P2	JUN	TNF
2	n108	JUN	"n108,n1039"	"JUN,IL1B,IL18,TNF,IL6"	NOD-like receptor signaling pathway	Route1153	P2	JUN	IL6
3	n108	JUN	"n108,n1039"	"JUN,IL1B,IL18,TNF,IL6"	NOD-like receptor signaling pathway	Route1153	P2	JUN	IL1B
4	n11	"NFATC1,NFATC2,NFATC3"	"n11,n89"	"NFATC1,NFATC2,NFATC3,IL17A"	Th17 cell differentiation	Route1526	P2	"NFATC1,NFATC2,NFATC3"	IL17A
5	n11	"NFKB1,RELA"	"n11,n57"	"NFKB1,RELA,VEGFD,VEGFA,VEGFB,VEGFC"	Relaxin signaling pathway	Route1367	P2	"NFKB1,RELA"	VEGFA
6	"n11,n56"	"PRKACA,PRKACB,PRKACG,CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5"	"n11,n56,n54"	"PRKACA,PRKACB,PRKACG,CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,TNFSF11"	"Parathyroid hormone synthesis, secretion and action"	Route1233	P2	"PRKACA,PRKACB,PRKACG,CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5"	TNFSF11
7	n12	"NFKB1,RELA"	"n12,n5"	"NFKB1,RELA,IL6"	IL-17 signaling pathway	Route943	P2	"NFKB1,RELA"	IL6
8	"n123,n29,n36"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,MYBL2"	"n123,n103,n122,n28,n29,n36"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,CDKN1A,CDK2,CCNE1,CCNE2,RB1,RBL1,RBL2,E2F1,E2F2,E2F3,E2F4,E2F5,MYBL2"	Cellular senescence	Route592	P2	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,MYBL2"	"HLA-G,HLA-B,HLA-A,HLA-B"
9	"n123,n29,n36"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,MYBL2"	"n123,n103,n122,n28,n29,n36"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,CDKN1A,CDK2,CCNE1,CCNE2,RB1,RBL1,RBL2,E2F1,E2F2,E2F3,E2F4,E2F5,MYBL2"	Cellular senescence	Route592	P2	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,MYBL2"	"HLA-C,HLA-E"
10	"n123,n29,n37"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,FOXM1"	"n123,n103,n122,n28,n29,n37"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,CDKN1A,CDK2,CCNE1,CCNE2,RB1,RBL1,RBL2,E2F1,E2F2,E2F3,E2F4,E2F5,FOXM1"	Cellular senescence	Route593	P2	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,FOXM1"	"HLA-G,HLA-B,HLA-A,HLA-B"
11	"n123,n29,n37"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,FOXM1"	"n123,n103,n122,n28,n29,n37"	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,CDKN1A,CDK2,CCNE1,CCNE2,RB1,RBL1,RBL2,E2F1,E2F2,E2F3,E2F4,E2F5,FOXM1"	Cellular senescence	Route593	P2	"KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,E2F1,E2F2,E2F3,E2F4,E2F5,FOXM1"	"HLA-C,HLA-E"
12	n13	"FOS,FOSB,JUN,JUND,FOSL1"	"n13,n5"	"FOS,FOSB,JUN,JUND,FOSL1,IL6"	IL-17 signaling pathway	Route944	P2	"FOS,FOSB,JUN,JUND,FOSL1"	IL6
13	n14	"NFKB1,RELA"	"n14,n253,n235"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1451	P2	"NFKB1,RELA"	TNF
14	n14	"NFKB1,RELA"	"n14,n253,n233"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1452	P2	"NFKB1,RELA"	TNF
15	n14	"NFKB1,RELA"	"n14,n253,n234"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1453	P2	"NFKB1,RELA"	TNF
16	n14	"NFKB1,RELA"	"n14,n253,n235"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1451	P2	"NFKB1,RELA"	IFNG
