DRRID	C2-R2-ID	C2-R2-PW	C2-R2-TYPE	C2-R2-ids	C2-R2-genes	C2-R2-RRecetors-ids	C2-R2-RRecetors-genes	C2-R2-RReceptors-type	C2-R2-RLigands-ids	C2-R2-RLigands-genes	C2-R2-RLigands-type	SocketPairs_Receptor
6348	Route3	Adherens junction	P1	n25,n59,n367	IGF1R,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n25	IGF1R	OR_bundle				IGF1R
6349	Route4	Adherens junction	P1	n72,n56,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,AFDN,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN3
6350	Route4	Adherens junction	P1	n72,n56,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,AFDN,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN1
6351	Route4	Adherens junction	P1	n72,n56,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,AFDN,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN2
6352	Route4	Adherens junction	P1	n72,n56,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,AFDN,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN4
6353	Route5	Adherens junction	P1	n72,n71,n74,n42,n41,n359,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,SRC,FARP2,CDC42,RAC1,RAC2,RAC3,WASL,WAS,WASL,IQGAP1,WASF2,WASF3,WASF1,BAIAP2,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN3
6354	Route5	Adherens junction	P1	n72,n71,n74,n42,n41,n359,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,SRC,FARP2,CDC42,RAC1,RAC2,RAC3,WASL,WAS,WASL,IQGAP1,WASF2,WASF3,WASF1,BAIAP2,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN1
6355	Route5	Adherens junction	P1	n72,n71,n74,n42,n41,n359,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,SRC,FARP2,CDC42,RAC1,RAC2,RAC3,WASL,WAS,WASL,IQGAP1,WASF2,WASF3,WASF1,BAIAP2,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN2
6356	Route5	Adherens junction	P1	n72,n71,n74,n42,n41,n359,n44	NECTIN3,NECTIN1,NECTIN2,NECTIN4,SRC,FARP2,CDC42,RAC1,RAC2,RAC3,WASL,WAS,WASL,IQGAP1,WASF2,WASF3,WASF1,BAIAP2,ACTB,ACTG1	n72	NECTIN3,NECTIN1,NECTIN2,NECTIN4	OR_bundle				NECTIN4
6357	Route6	Adherens junction	P1	n360,n364,n367	TGFBR1,TGFBR2,FGFR1,SMAD2,SMAD3,SMAD4,EP300,CREBBP,TCF7L2,TCF7,TCF7L1,LEF1	n360	TGFBR1,TGFBR2,FGFR1	OR_bundle				TGFBR1
6358	Route6	Adherens junction	P1	n360,n364,n367	TGFBR1,TGFBR2,FGFR1,SMAD2,SMAD3,SMAD4,EP300,CREBBP,TCF7L2,TCF7,TCF7L1,LEF1	n360	TGFBR1,TGFBR2,FGFR1	OR_bundle				TGFBR2
