ULRID	C1-R1-TFs-ids	C1-R1-TFs-genes	C1-R1-ids	C1-R1-genes	C1-R1-PW	C1-R1-ID	C1-R1-TYPE	SocektPairs_TF	SocketPairs_Ligand
0	NA	NA	NA	NA	NA	NA	NA	ZNF217	CDH1
1	NA	NA	NA	NA	NA	NA	NA	AR	CDH1
2	NA	NA	NA	NA	NA	NA	NA	TCF4	CDH1
3	NA	NA	NA	NA	NA	NA	NA	TP63	CDH1
4	NA	NA	NA	NA	NA	NA	NA	E2F1	CDH1
5	NA	NA	NA	NA	NA	NA	NA	MYC	CDH1
6	NA	NA	NA	NA	NA	NA	NA	NANOG	CDH1
7	NA	NA	NA	NA	NA	NA	NA	POU5F1	CDH1
8	NA	NA	NA	NA	NA	NA	NA	SOX2	CDH1
9	NA	NA	NA	NA	NA	NA	NA	TCF3	CDH1
10	NA	NA	NA	NA	NA	NA	NA	EGR1	CDH1
11	NA	NA	NA	NA	NA	NA	NA	MITF	CDH1
12	NA	NA	NA	NA	NA	NA	NA	FOXA2	CDH1
13	NA	NA	NA	NA	NA	NA	NA	HNF4A	CDH1
14	NA	NA	NA	NA	NA	NA	NA	GATA1	CDH1
15	NA	NA	NA	NA	NA	NA	NA	GATA2	CDH1
16	NA	NA	NA	NA	NA	NA	NA	KDM5B	CDH1
17	NA	NA	NA	NA	NA	NA	NA	SIN3B	CDH1
18	NA	NA	NA	NA	NA	NA	NA	SETDB1	CDH1
19	NA	NA	NA	NA	NA	NA	NA	EOMES	CDH1
20	NA	NA	NA	NA	NA	NA	NA	TFAP2C	CDH1
21	NA	NA	NA	NA	NA	NA	NA	MYCN	CDH1
22	NA	NA	NA	NA	NA	NA	NA	ERG	CDH1
23	NA	NA	NA	NA	NA	NA	NA	CNOT3	CDH1
24	NA	NA	NA	NA	NA	NA	NA	SOX9	CDH1
25	NA	NA	NA	NA	NA	NA	NA	OLIG2	CDH1
26	NA	NA	NA	NA	NA	NA	NA	SMARCA4	CDH1
27	NA	NA	NA	NA	NA	NA	NA	YAP1	CDH1
