ID	TYPE	LEN	PW1_NAME	PW1_ROUTE	PW1_ROUTE_GENES
1	P1	3	Adherens junction	['n6', 'n59', 'n367']	['CDH1', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
2	P1	4	Adherens junction	['n7', 'n68', 'n45', 'n44']	['CDH1', 'CTNNB1', 'CTNNA1', 'CTNNA2', 'CTNNA3', 'ACTB', 'ACTG1']
3	P1	3	Adherens junction	['n25', 'n59', 'n367']	['IGF1R', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
4	P1	3	Adherens junction	['n72', 'n56', 'n44']	['NECTIN3', 'NECTIN1', 'NECTIN2', 'NECTIN4', 'AFDN', 'ACTB', 'ACTG1']
5	P1	7	Adherens junction	['n72', 'n71', 'n74', 'n42', 'n41', 'n359', 'n44']	['NECTIN3', 'NECTIN1', 'NECTIN2', 'NECTIN4', 'SRC', 'FARP2', 'CDC42', 'RAC1', 'RAC2', 'RAC3', 'WASL', 'WAS', 'WASL', 'IQGAP1', 'WASF2', 'WASF3', 'WASF1', 'BAIAP2', 'ACTB', 'ACTG1']
6	P1	3	Adherens junction	['n360', 'n364', 'n367']	['TGFBR1', 'TGFBR2', 'FGFR1', 'SMAD2', 'SMAD3', 'SMAD4', 'EP300', 'CREBBP', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
7	P1	4	Adherens junction	['n361', 'n368', 'n59', 'n367']	['EGFR', 'ERBB2', 'MET', 'FER', 'SRC', 'FYN', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
8	P1	3	Adherens junction	['n361', 'n19', 'n369']	['EGFR', 'ERBB2', 'MET', 'MAPK1', 'MAPK3', 'SNAI2', 'SNAI1']
9	P1	3	Adherens junction	['n361', 'n59', 'n367']	['EGFR', 'ERBB2', 'MET', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
10	P1	4	Adherens junction	['n370', 'n68', 'n45', 'n44']	['ACP1', 'PTPRM', 'PTPRF', 'PTPRB', 'CTNNB1', 'CTNNA1', 'CTNNA2', 'CTNNA3', 'ACTB', 'ACTG1']
11	P2	3	Adherens junction	['n367', 'n369', 'n2']	['TCF7L2', 'TCF7', 'TCF7L1', 'LEF1', 'SNAI2', 'SNAI1', 'CDH1']
12	P2	2	Adherens junction	['n369', 'n2']	['SNAI2', 'SNAI1', 'CDH1']
13	P1	4	Adipocytokine signaling pathway	['n14', 'n24', 'n42', 'n32']	['LEP', 'LEPR', 'JAK2', 'STAT3']
14	P1	3	Adipocytokine signaling pathway	['n14', 'n24', 'n162']	['LEP', 'LEPR', 'PPARA', 'RXRA', 'RXRB', 'RXRG']
15	P1	7	Adipocytokine signaling pathway	['n44', 'n38', 'n41', 'n36', 'n29', 'n5', 'n4']	['TNF', 'TNFRSF1A', 'TRADD', 'TRAF2', 'CHUK', 'IKBKB', 'IKBKG', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NFKB1', 'RELA']
16	P1	6	Adipocytokine signaling pathway	['n44', 'n30', 'n36', 'n29', 'n5', 'n4']	['TNF', 'TNFRSF1B', 'TRAF2', 'CHUK', 'IKBKB', 'IKBKG', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NFKB1', 'RELA']
17	P2	3	Adipocytokine signaling pathway	['n4', 'n7', 'n37']	['NFKB1', 'RELA', 'SOCS3', 'IRS1', 'IRS4', 'IRS2']
18	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n42', 'n32', 'n16']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'JAK2', 'STAT3', 'POMC']
19	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n42', 'n32', 'n8']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'JAK2', 'STAT3', 'CPT1C', 'CPT1A', 'CPT1B']
20	P2	7	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n42', 'n32', 'n17', 'n31']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'JAK2', 'STAT3', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'AGRP']
21	P2	7	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n42', 'n32', 'n17', 'n26']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'JAK2', 'STAT3', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'NPY']
22	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n42', 'n32', 'n40']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'JAK2', 'STAT3', 'PPARGC1A']
23	P2	5	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n42', 'n6']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'JAK2', 'PTPN11']
24	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n25', 'n18', 'n28']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SLC2A1', 'SLC2A4']
25	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n25', 'n18', 'n10']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PCK1', 'PCK2']
26	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n25', 'n18', 'n9']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'G6PC', 'G6PC2', 'G6PC3']
27	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n25', 'n18', 'n20']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'ACACB']
28	P2	5	Adipocytokine signaling pathway	['n4', 'n7', 'n24', 'n162', 'n8']	['NFKB1', 'RELA', 'SOCS3', 'LEPR', 'PPARA', 'RXRA', 'RXRB', 'RXRG', 'CPT1C', 'CPT1A', 'CPT1B']
29	P2	5	Adipocytokine signaling pathway	['n4', 'n7', 'n42', 'n32', 'n16']	['NFKB1', 'RELA', 'SOCS3', 'JAK2', 'STAT3', 'POMC']
30	P2	5	Adipocytokine signaling pathway	['n4', 'n7', 'n42', 'n32', 'n8']	['NFKB1', 'RELA', 'SOCS3', 'JAK2', 'STAT3', 'CPT1C', 'CPT1A', 'CPT1B']
