TF	Ligand(Target)	Receptor	Source
1	AR	ULBP3	KLRK1	CellTalk
2	AR	IFNW1	IFNAR1	CellTalk
3	AR	IFNW1	IFNAR2	CellTalk
4	AR	COL6A3	ITGB1	CellTalk
5	AR	COL6A3	ITGA2	CellTalk
6	AR	COL6A3	ITGA1	CellTalk
7	AR	PRG4	CD44	CellTalk
8	AR	CRISP3	A1BG	CellTalk
9	AR	GCG	ADCYAP1R1	CellTalk
10	AR	GCG	GPR84	CellTalk
11	AR	GCG	TSHR	CellTalk
12	AR	GCG	RAMP3	CellTalk
13	AR	GCG	RAMP2	CellTalk
14	AR	GCG	GLP2R	CellTalk
15	AR	GCG	ADRB2	CellTalk
16	AR	GCG	PTH1R	CellTalk
17	AR	GCG	VIPR1	CellTalk
18	AR	GCG	ADRB3	CellTalk
19	AR	GCG	DPP4	CellTalk
20	AR	GCG	GLP1R	CellTalk
21	AR	GCG	GPR20	CellTalk
22	AR	GCG	GCGR	CellTalk
23	AR	FGF7	FGFR2	CellTalk
24	AR	FGF7	FGFR4	CellTalk
25	AR	FGF7	FGFR1	CellTalk
26	AR	FGF7	FGFR3	CellTalk
27	AR	FGF7	NRP1	CellTalk
28	AR	CNTN4	PTPRG	CellTalk
29	AR	CRH	ADCYAP1R1	CellTalk
30	AR	CRH	ADRB2	CellTalk
31	AR	CRH	CRHR2	CellTalk
32	AR	CRH	GPR84	CellTalk
33	AR	CRH	PTH1R	CellTalk
34	AR	CRH	VIPR1	CellTalk
35	AR	CRH	GPR20	CellTalk
36	AR	CRH	MC2R	CellTalk
37	AR	CRH	CRHR1	CellTalk
38	AR	CRH	ADRB3	CellTalk
39	AR	CRH	TSHR	CellTalk
40	AR	CRH	RAMP3	CellTalk
41	AR	CRH	RAMP2	CellTalk
42	AR	CNTN1	CNTNAP1	CellChat
43	AR	CP	SLC40A1	CellTalk
44	AR	NID1	ITGB1	CellTalk
45	AR	NID1	ITGB3	CellTalk
46	AR	NID1	COL13A1	CellTalk
47	AR	NID1	PTPRF	CellTalk
48	AR	NID1	ITGA3	CellTalk
49	AR	NID1	ITGAV	CellTalk
50	AR	FGA	ITGAM	CellTalk
51	AR	FGA	ITGAX	CellTalk
52	AR	FGA	ITGB1	CellTalk
53	AR	FGA	PLAUR	CellTalk
54	AR	FGA	ITGB3	CellTalk
55	AR	FGA	CDH5	CellTalk
56	AR	FGA	ITGB2	CellTalk
57	AR	FGA	TLR4	CellTalk
58	AR	FGA	ITGAD	CellTalk
59	AR	FGA	ITGAV	CellTalk
60	AR	FGA	ITGA2B	CellTalk
61	AR	FGA	ITGA5	CellTalk
62	AR	CCL20	CXCR3	CellTalk
63	AR	CCL20	CCR6	CellTalk
64	AR	CCL20	ADRA2A	CellTalk
65	AR	CCL20	MTNR1A	CellTalk
66	AR	CCL20	GRM7	CellTalk
67	AR	AGT	AGTR1	CellTalk
68	AR	AGT	AGTR2	CellTalk
69	AR	AGT	MAS1	CellTalk
70	AR	AGT	LRP2	CellTalk
71	AR	AGT	ENPEP	CellTalk
72	AR	AGT	ADRA2A	CellTalk
73	AR	AGT	MTNR1A	CellTalk
74	AR	AGT	GRM7	CellTalk
